Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
,"Amazon Brand - Solimo Fast Charging Braided Type C Data Cable Joint, Suitable For All Supported Mobile Phones (1 Meter, Black)",1 meter long braided Type C data cable with 2-in-1 feature     Supports high transfer speed of up to 480Mbps     Supports high charging up to 30W     Solid wire core with aluminum housing for safe and reliable charging     Works with all USB Type-C devices     Recommended to use with the original charger/adapter for maximum efficiency     6 Months Limited Warranty,,,,,,,,,,,,,,,,,,,,,,,https://m.media-amazon.com/images/I/51l7n5KbYqL._SX342_.jpg,,,,,,,,,,,,,,,,,,,,,,69,,
,"Amazon Brand - Solimo 2 Ply Kitchen Tissue Paper Roll, soft and highly absorbent - 4 Rolls (60 Pulls Per Roll, 240 Sheets)","Soft touch tissues which can be used as table napkins, Safe for contact with food, Pack of 4 kitchen tissue rolls     Highly absorbent tissues that soak up spills quickly     Tissues made from 100 percent natural virgin paper     Free from optical brightening agent (OBA)",,,,,,,,,,,,,,,,,,,,,,,https://m.media-amazon.com/images/I/41Lh8l1P0qL._SX300_SY300_QL70_FMwebp_.jpg,,,,,,,,,,,,,,,,,,,,,,239,,
,"Amazon Brand - Solimo - Cotton Turkish Towel | Multicolour | Fade Resistant | Pack of 2 | Pink & Blue","High GSM Cotton Fabric: Densely woven cotton fabric with high grams per square meter (GSM) counts for superior absorbency.     Fade-Resistant Dyes: Utilizes fade-resistant dyes to maintain vibrant colours, wash after wash.     Breathable Weave: Specialized weaving pattern enhances breathability, reducing moisture retention.     Skin-Friendly Finish: A hypoallergenic finish ensures a gentle touch on sensitive skin.     Quick-Dry Technology: The innovative design promotes rapid drying, ideal for busy lifestyles.     Dimension: 78.7 X 157.5 cm",,,,,,,,,,,,,,,,,,,,,,,https://m.media-amazon.com/images/I/61lTasjAOUL._SY606_.jpg,,,,,,,,,,,,,,,,,,,,,,199,,
,"Amazon Brand - Solimo 100% Pure Coconut Oil, 1 L","100% pure coconut oil, made from finest quality of sun-dried coconuts     Retains freshness for 18 months     Easy to store and convenient to use in all seasons",,,,,,,,,,,,,,,,,,,,,,,https://m.media-amazon.com/images/I/31i9HDnW3zL._SX300_SY300_QL70_FMwebp_.jpg,,,,,,,,,,,,,,,,,,,,,,215,,
,"Amazon Brand - Solimo Germ Protection Soap, 125gm (Pack of 8)","Protects you from 99% germs by reducing disease-causing microbes     Deep cleanses skin to remove impurities     Naturally derived components and glycerin gently moisturizes skin     Contains 65% TFM which produces rich and creamy lather     Does not contain silicones or parabens, hence, is safe for daily use     Lab tested",,,,,,,,,,,,,,,,,,,,,,,"https://m.media-amazon.com/images/I/71q7zoT-WaL._SY355_PIbundle-8,TopRight,0,0_AA355SH20_.jpg",,,,,,,,,,,,,,,,,,,,,,179,,
,Amazon Brand - Solimo Designer Portfolio Zipper Folder with 10 Thick Leaves and 4 Rings,"Made of superior quality leatherette, this folder is sturdy while flaunting its overall aesthetic design.     The folder comes with 3 folders to organize everything in proper order.     The folder has built-in multiple card slots, giving you the ease of access to your business cards and store it properly.     This folder comes with 10 thick transparent leaves to store your documents without any damage.     The zipper compartment stores your daily essentials in place without letting it getting all over the place.",,,,,,,,,,,,,,,,,,,,,,,https://m.media-amazon.com/images/I/41udhjGB9nL._SX300_SY300_QL70_FMwebp_.jpg,,,,,,,,,,,,,,,,,,,,,,399,,
,Amazon Brand - Solimo Microfiber Solid Pillow Cover (Grey),"Lightweight: Experience unparalleled comfort with our lightweight design, ensuring a feather-light feel that keeps you at ease all day.     Easy to Maintain: Enjoy hassle-free maintenance with easy-to-wash fabric; conveniently clean at home for a fresh and hygienic experience every time.     Airy & Comfortable: Stay cool and comfortable in any season with this breathable fabric, designed to enhance airflow and keep you feeling fresh throughout the day.     Wrinkle-Free Fabric: Step out with confidence as this high-quality brushed cotton material resists wrinkles, ensuring you look polished and put-together, no matter the occasion.     Great Quality Material: Indulge in the luxury of super-soft, high-quality brushed cotton that pampers your skin, providing a touch of opulence to your everyday wear.     Multifaceted: It is single-stitched, machine washable, and does not need any specific temperature to be washed.     Dimensions (L X W): 17"" X 27""     GSM: 125 GSM",,,,,,,,,,,,,,,,,,,,,,,https://m.media-amazon.com/images/I/31FkERhtnpL._SY300_SX300_QL70_FMwebp_.jpg,,,,,,,,,,,,,,,,,,,,,,99,,
,"Amazon Brand - Solimo Fresh Dates 500 Gram | Khajur Dry Fruit | Natural Sweetener | No Preservatives Or Additives","Attractive packaging; ideal for festivals and as a gifting item;Free from preservatives and additives     Store in a dry, airtight container after opening and preferably refrigerate;Hygienically packed to meet food safety standards     Useful for preparing a variety of healthfoods and cuisines;Caution: May contain occasional traces of other nuts and dried fruits     Healthy alternative to processed foods and snacks;Premium quality dates, naturally packed with nutrients; ingredients:dry dates     Material Features: Vegetarian; Material Features: Vegetarian",,,,,,,,,,,,,,,,,,,,,,,https://m.media-amazon.com/images/I/51q-mzpskgL._SY300_SX300_QL70_FMwebp_.jpg,,,,,,,,,,,,,,,,,,,,,,199,,
,"Amazon Brand - Solimo Airtight Borosilicate Glass Container Set (Transparent , 3 pieces, 400ml)","Imported 100% food-grade Borosilicate glass container; lead and cadmium-free, safe for storing food     100% food-safe plastic airtight lid; keeps the food fresh for long     Leak-proof with thick silicon gasket fitted inside the lid     Compatible with microwave use (without the lid on) as made with low thermal expansion borosilicate glass and freezer-safe     Lid has inwards sliding air vents for easy release of vacuum making it convenient to open the lid without any worries of spillage     Easy to maintain and dishwasher-friendly     Ideal to carry as tiffin and for storing left-overs",,,,,,,,,,,,,,,,,,,,,,,https://m.media-amazon.com/images/I/61jYB6LfRyL._SX425_.jpg,,,,,,,,,,,,,,,,,,,,,,499.38,,
,"Amazon Brand - Solimo Notebooks, Spiral-Bound, Lightweight, Vibrant Colours (A5, 100 Pages, 70 GSM, Set of 5)","Solimo presents this set of five lightweight notebooks. These versatile books are suitable for use in the classroom or office, meeting a range of daily needs.     Each notebook contains 100 ruled pages of 70 gsm.     The paper is smooth and easy to write on using any writing instrument, including fountain pens, without ink penetration.     The cover is made from plastic.     The books are spiral-bound, which allow you to open them flat on any surface.     These aesthetically pleasing notebooks come in vibrant colours.     Dimensions: A5 size; No. of pages: 100     Package contents: Pack of 5 notebooks",,,,,,,,,,,,,,,,,,,,,,,https://m.media-amazon.com/images/I/51TWPWsV93L._SY300_SX300_QL70_FMwebp_.jpg,,,,,,,,,,,,,,,,,,,,,,299,,